id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	EPI|EPI	EPI|Mes	EPI|TE	EPI|emVE	EPI|exVE	Mes|EPI	Mes|Mes	Mes|TE	Mes|emVE	Mes|exVE	TE|EPI	TE|Mes	TE|TE	TE|emVE	TE|exVE	emVE|EPI	emVE|Mes	emVE|TE	emVE|emVE	emVE|exVE	exVE|EPI	exVE|Mes	exVE|TE	exVE|emVE	exVE|exVE
CPI-SS0A7B487D4	KLRG2_WNT11	simple:A4D1S0	simple:O96014	KLRG2	WNT11	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.017	0.012	0.027	0.017	0.005	0.017	0.012	0.027	0.017
CPI-SS0FEC87269	KLRG2_TNFSF9	simple:A4D1S0	simple:P41273	KLRG2	TNFSF9	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.03	0.027	0.002	0.003	0.03	0.03	0.027	0.002	0.003
CPI-SS00A8596B5	PVR_TNFSF9	simple:P15151	simple:P41273	PVR	TNFSF9	True	True	False	InnateDB-All	False	0.093	0.094	0.09	0.066	0.066	0.099	0.099	0.096	0.071	0.072	0.1	0.1	0.096	0.072	0.073	0.188	0.188	0.185	0.161	0.161	0.263	0.263	0.26	0.236	0.236
CPI-SS044DF8749	KLRG2_WNT5B	simple:A4D1S0	simple:Q9H1J7	KLRG2	WNT5B	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.046	0.003	0.012	0.005	0.029	0.046	0.003	0.012	0.005
CPI-SS0F8ABC300	GALR2_GAL	simple:O43603	simple:P22466	GALR2	GAL	True	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.007	0.004	0.003	0.0	0.0	0.0	0.0	0.0
CPI-SS0F1A060D4	PVR_NECTIN3	simple:P15151	simple:Q9NQS3	PVR	NECTIN3	True	True	False	curated	False	0.259	0.394	0.143	0.227	0.29	0.264	0.399	0.148	0.233	0.296	0.265	0.4	0.149	0.233	0.296	0.353	0.488	0.238	0.322	0.385	0.429	0.564	0.313	0.397	0.46
CPI-SS0B990492C	CADM1_NECTIN3	simple:Q9BY67	simple:Q9NQS3	CADM1	NECTIN3	False	False	False	curated	False	1.04	1.175	0.925	1.009	1.072	0.602	0.737	0.487	0.571	0.634	0.682	0.817	0.566	0.651	0.714	0.295	0.43	0.179	0.263	0.326	0.237	0.372	0.121	0.205	0.268
CPI-SS0C5E9FBFB	NECTIN1_NECTIN3	simple:Q15223	simple:Q9NQS3	NECTIN1	NECTIN3	True	True	False	curated	False	0.389	0.524	0.274	0.358	0.421	0.286	0.421	0.17	0.255	0.318	0.215	0.35	0.099	0.183	0.246	0.268	0.403	0.152	0.236	0.299	0.227	0.362	0.111	0.195	0.258
CPI-SS02FBD007E	NECTIN2_NECTIN3	simple:Q92692	simple:Q9NQS3	NECTIN2	NECTIN3	False	True	False	curated	False	0.536	0.671	0.42	0.505	0.568	0.706	0.841	0.59	0.674	0.737	0.646	0.781	0.53	0.614	0.677	1.001	1.136	0.886	0.97	1.033	0.819	0.954	0.703	0.787	0.85
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	1.693	1.255	1.335	0.948	0.89	1.255	0.817	0.897	0.51	0.452	1.335	0.897	0.977	0.59	0.532	0.948	0.51	0.59	0.202	0.144	0.89	0.452	0.532	0.144	0.086
CPI-SS0C9696AAA	CRTAM_CADM1	simple:O95727	simple:Q9BY67	CRTAM	CADM1	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.847	0.409	0.489	0.102	0.044
CPI-SS01E0F2D2C	NECTIN1_NECTIN4	simple:Q15223	simple:Q96NY8	NECTIN1	NECTIN4	True	True	True	curated	False	0.0	0.212	0.205	0.0	0.0	0.0	0.109	0.102	0.0	0.0	0.0	0.038	0.03	0.0	0.0	0.0	0.09	0.083	0.0	0.0	0.0	0.049	0.042	0.0	0.0
CPI-SS03DA2A820	FGF2_CD44	simple:P09038	simple:P16070	FGF2	CD44	True	False	True	I2D,InnateDB-All	False	0.019	0.032	0.0	0.008	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.026	0.0	0.002	0.002	0.015	0.027	0.0	0.004	0.003
CPI-SS02AB0C3E0	SPP1_CD44	simple:P10451	simple:P16070	SPP1	CD44	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.091	0.104	0.0	0.08	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0703338F5	LGALS9_CD44	simple:O00182	simple:P16070	LGALS9	CD44	True	False	True	InnateDB	False	0.026	0.038	0.0	0.015	0.015	0.015	0.027	0.0	0.004	0.003	0.0	0.0	0.0	0.0	0.0	0.043	0.055	0.0	0.032	0.031	0.029	0.041	0.0	0.018	0.018
CPI-SS008FB916C	FGF2_FGFR4	simple:P09038	simple:P22455	FGF2	FGFR4	True	False	True	curated	False	0.013	0.062	0.071	0.2	0.192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.056	0.065	0.194	0.186	0.008	0.057	0.066	0.195	0.187
CPI-SS0D9366D11	FGF1_FGFR4	simple:P05230	simple:P22455	FGF1	FGFR4	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.016	0.065	0.074	0.203	0.195	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017	0.066	0.075	0.204	0.196	0.009	0.058	0.067	0.196	0.188
CPI-SS0D4CA5D92	FGF18_FGFR4	simple:O76093	simple:P22455	FGF18	FGFR4	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.06	0.069	0.198	0.19	0.008	0.057	0.066	0.195	0.187	0.0	0.0	0.0	0.0	0.0
CPI-SS02896561C	FGF4_FGFR4	simple:P08620	simple:P22455	FGF4	FGFR4	True	False	True	I2D	False	0.059	0.108	0.117	0.246	0.238	0.017	0.066	0.075	0.204	0.196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.055	0.064	0.193	0.185
CPI-SS05ECF1933	FGF3_FGFR4	simple:P11487	simple:P22455	FGF3	FGFR4	True	False	True	I2D	False	0.018	0.067	0.076	0.205	0.197	0.748	0.797	0.806	0.935	0.927	0.033	0.082	0.091	0.22	0.212	0.018	0.067	0.076	0.205	0.197	0.015	0.064	0.073	0.202	0.194
CPI-SS066347638	FGF5_FGFR4	simple:P12034	simple:P22455	FGF5	FGFR4	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.466	1.515	1.524	1.653	1.645	0.532	0.581	0.59	0.718	0.71	0.03	0.079	0.088	0.217	0.209	1.463	1.512	1.521	1.65	1.642	0.071	0.12	0.129	0.257	0.249
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	0.627	0.594	0.554	0.111	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.621	0.588	0.548	0.105	0.134	0.623	0.589	0.549	0.106	0.135
CPI-SS0755A26DD	FGF1_FGFR1	simple:P05230	simple:P11362	FGF1	FGFR1	True	False	True	curated	False	0.631	0.597	0.557	0.114	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.631	0.598	0.558	0.115	0.144	0.623	0.59	0.55	0.107	0.136
CPI-SS0F2C6A4D4	FGF18_FGFR1	simple:O76093	simple:P11362	FGF18	FGFR1	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.626	0.592	0.552	0.109	0.138	0.622	0.589	0.549	0.106	0.135	0.0	0.0	0.0	0.0	0.0
CPI-SS0FFB9E01B	FGF4_FGFR1	simple:P08620	simple:P11362	FGF4	FGFR1	True	False	True	I2D	False	0.673	0.64	0.6	0.157	0.186	0.632	0.598	0.558	0.115	0.144	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.621	0.588	0.547	0.104	0.133
CPI-SS03189F5F6	FGF10_FGFR1	simple:O15520	simple:P11362	FGF10	FGFR1	True	False	True	InnateDB-All	False	0.633	0.6	0.56	0.117	0.146	0.831	0.798	0.758	0.315	0.344	0.623	0.59	0.55	0.107	0.136	0.829	0.796	0.756	0.313	0.342	0.646	0.613	0.573	0.13	0.159
CPI-SS05A94DE17	FGF2_FGFR2	simple:P09038	simple:P21802	FGF2	FGFR2	True	False	True	curated	False	0.038	0.06	0.817	0.071	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.054	0.812	0.065	0.075	0.033	0.055	0.813	0.066	0.076
CPI-SS04A97448D	FGF1_FGFR2	simple:P05230	simple:P21802	FGF1	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct,MINT	False	0.041	0.063	0.821	0.074	0.084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.064	0.821	0.075	0.084	0.034	0.056	0.813	0.067	0.076
CPI-SS06B86672A	CD44_FGFR2	simple:P16070	simple:P21802	CD44	FGFR2	True	True	True	InnateDB-All	False	0.043	0.065	0.822	0.076	0.085	0.055	0.077	0.835	0.088	0.098	0.0	0.0	0.0	0.0	0.0	0.032	0.054	0.811	0.065	0.074	0.032	0.054	0.811	0.064	0.074
CPI-SS0F6A7A4DF	FGF18_FGFR2	simple:O76093	simple:P21802	FGF18	FGFR2	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.058	0.816	0.069	0.079	0.033	0.055	0.812	0.066	0.075	0.0	0.0	0.0	0.0	0.0
CPI-SS0D67110B0	FGF4_FGFR2	simple:P08620	simple:P21802	FGF4	FGFR2	True	False	True	I2D	False	0.084	0.106	0.863	0.117	0.126	0.042	0.064	0.822	0.075	0.085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.053	0.811	0.064	0.074
CPI-SS06D341996	FGF3_FGFR2	simple:P11487	simple:P21802	FGF3	FGFR2	True	False	True	I2D,InnateDB-All	False	0.043	0.065	0.822	0.076	0.085	0.773	0.795	1.552	0.806	0.815	0.058	0.08	0.838	0.091	0.101	0.043	0.065	0.822	0.076	0.085	0.04	0.062	0.82	0.073	0.083
CPI-SS02FEAF02E	FGF5_FGFR2	simple:P12034	simple:P21802	FGF5	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	1.491	1.513	2.27	1.524	1.533	0.557	0.578	1.336	0.589	0.599	0.055	0.077	0.835	0.088	0.098	1.488	1.51	2.267	1.521	1.53	0.096	0.117	0.875	0.128	0.138
CPI-SS0AECC113F	FGF10_FGFR2	simple:O15520	simple:P21802	FGF10	FGFR2	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.044	0.066	0.823	0.077	0.086	0.242	0.263	1.021	0.274	0.284	0.034	0.056	0.813	0.067	0.076	0.24	0.262	1.02	0.273	0.283	0.057	0.079	0.836	0.09	0.099
CPI-SS0735F5C3A	TIMP1_FGFR2	simple:P01033	simple:P21802	TIMP1	FGFR2	True	False	True	InnateDB-All	False	0.159	0.181	0.938	0.192	0.202	0.111	0.133	0.891	0.144	0.154	0.073	0.095	0.853	0.106	0.116	0.042	0.064	0.821	0.074	0.084	0.036	0.057	0.815	0.068	0.078
CPI-SS0348DB5E3	FGFR1_FGFR2	simple:P11362	simple:P21802	FGFR1	FGFR2	True	True	True	InnateDB-All	False	0.651	0.673	1.43	0.684	0.693	0.618	0.639	1.397	0.65	0.66	0.577	0.599	1.357	0.61	0.62	0.135	0.156	0.914	0.167	0.177	0.164	0.185	0.943	0.196	0.206
CPI-SS0D636A374	FGF2_FGFR3	simple:P09038	simple:P22607	FGF2	FGFR3	True	False	True	curated	False	0.0	0.033	0.05	0.103	0.169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.044	0.097	0.163	0.0	0.029	0.046	0.099	0.164
CPI-SS015819E65	FGF1_FGFR3	simple:P05230	simple:P22607	FGF1	FGFR3	True	False	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	0.037	0.054	0.106	0.172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.054	0.107	0.173	0.0	0.029	0.046	0.099	0.165
CPI-SS0E134097C	FGF18_FGFR3	simple:O76093	simple:P22607	FGF18	FGFR3	True	False	True	I2D	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.049	0.101	0.167	0.0	0.028	0.045	0.098	0.164	0.0	0.0	0.0	0.0	0.0
