gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	CTL	HSC	HSC-like	Mono	Mono-like	NK	Plasma	Prog	Prog-like	T	cDC-like	earlyEry	lateEry
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	2.163	0.288	0.397	1.078	0.969	1.683	0.203	1.805	0.698	1.364	0.041	2.713	0.314	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.0	0.0	0.011	0.0	0.051	0.036	0.647	0.0	0.013	0.0	0.03	0.009	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.0	0.0	0.011	0.0	0.051	0.036	0.647	0.0	0.013	0.0	0.03	0.009	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.0	0.0	0.011	0.0	0.051	0.036	0.647	0.0	0.013	0.0	0.03	0.009	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.0	0.0	0.0	0.011	0.0	0.051	0.036	0.647	0.0	0.013	0.0	0.03	0.009	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.0	0.0	0.0	0.011	0.0	0.051	0.036	0.647	0.0	0.013	0.0	0.03	0.009	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.0	0.0	0.0	0.0	0.019	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.487	0.0	0.0	0.0	0.006	0.976	0.0	0.0	0.002	0.109	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.0	0.0	0.0	0.026	0.0	0.062	0.008	0.0	0.0	0.04	0.0	0.081	0.0	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.0	0.0	0.0	0.0	0.019	0.034	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.0	0.03	0.041	0.143	0.409	0.0	0.0	0.016	0.04	0.036	0.0	0.097
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.487	0.0	0.0	0.0	0.006	0.976	0.0	0.0	0.002	0.109	0.0	0.0	0.0
