gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	CTL	HSC	HSC-like	Mono	Mono-like	NK	Plasma	Prog	Prog-like	T	cDC-like	earlyEry	lateEry
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	2.702	0.486	0.92	1.097	0.0	0.78	0.513	0.499	0.607	1.271	0.128	1.529	0.317	0.225
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.191	0.171	0.055	0.01	0.0	0.027	0.07	0.0	0.0	0.025	0.0	0.0	0.02	0.029
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.191	0.171	0.055	0.01	0.0	0.027	0.07	0.0	0.0	0.025	0.0	0.0	0.02	0.029
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.191	0.171	0.055	0.01	0.0	0.027	0.07	0.0	0.0	0.025	0.0	0.0	0.02	0.029
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.191	0.171	0.055	0.01	0.0	0.027	0.07	0.0	0.0	0.025	0.0	0.0	0.02	0.029
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.191	0.171	0.055	0.01	0.0	0.027	0.07	0.0	0.0	0.025	0.0	0.0	0.02	0.029
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.0	0.012	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.001	0.021	0.0	0.0	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.906	0.0	0.007	0.0	0.0	0.478	0.0	0.0	0.01	0.171	0.0	0.042	0.128
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.331	0.0	0.044	0.028	0.0	0.191	0.026	0.0	0.0	0.021	0.0	0.0	0.008	0.035
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.0	0.012	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.001	0.021	0.0	0.0	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.22	0.062	0.044	0.0	0.0	0.127	0.0	0.0	0.006	0.047	0.0	0.007	0.0
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.906	0.0	0.007	0.0	0.0	0.478	0.0	0.0	0.01	0.171	0.0	0.042	0.128
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.109	0.0	0.008	0.0	0.19	0.187	0.166	0.0	0.006	0.135	0.0	0.031	0.028
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.072	0.08	0.002	0.0	0.0	0.0	0.0	0.0	0.003	0.024	0.0	0.103	1.027
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.0	0.024	0.007	0.225	0.083	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.077	0.009	0.0	0.0	0.022	0.0	0.0	0.014	0.0	0.0	0.025	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.077	0.009	0.0	0.0	0.022	0.0	0.0	0.014	0.0	0.0	0.025	0.0
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.0	0.04	0.016	0.0	0.0	0.029	0.0	0.0	0.006	0.018	0.0	0.0	0.013
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.0	0.167	0.022	0.154	0.225	0.0	0.277	0.0	0.143	0.148	0.119	0.27	0.27	0.083
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.0	0.045	0.014	0.0	0.0	0.013	0.0	0.0	0.014	0.007	0.0	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.005	0.013	0.189	0.0	0.0
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	4.677	4.67	1.621	2.516	4.207	5.244	5.546	2.965	2.38	2.194	2.69	3.201	1.849	1.323
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.305	0.105	0.04	0.142	0.335	0.214	0.26	0.131	0.0	0.15	0.148	0.859	0.17	0.077
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.0	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.004	0.0	0.0	0.0	0.009
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.0	0.012	0.125	0.119	0.0	0.076	0.051	0.0	0.143	0.094	0.007	0.049	0.004	0.061
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.005	0.013	0.189	0.0	0.0
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	4.677	4.67	1.621	2.516	4.207	5.244	5.546	2.965	2.38	2.194	2.69	3.201	1.849	1.323
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	0.305	0.105	0.04	0.142	0.335	0.214	0.26	0.131	0.0	0.15	0.148	0.859	0.17	0.077
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	1.872	0.48	0.949	1.032	0.0	0.198	0.53	0.722	0.514	0.787	0.125	1.905	0.312	0.253
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.0	0.0	0.03	0.009	0.0	0.0	0.073	0.0	0.0	0.018	0.014	0.0	0.012	0.009
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.131	0.0	0.027	0.016	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.059	0.037
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.146	0.169	0.17	0.025	0.0	0.0	0.031	0.0	0.0	0.01	0.032	0.0	0.014	0.014
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	9.661	1.487	1.141	2.248	0.0	2.663	1.038	2.134	1.02	2.097	0.38	3.882	0.456	0.245
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.0	0.072	0.0	0.015	0.0	0.0	0.056	0.0	0.0	0.008	0.004	0.095	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.0	0.084	0.194	0.198	0.0	0.526	0.153	0.166	0.0	0.188	0.035	0.232	0.135	0.072
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.067
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.191	0.452	0.126	0.181	1.043	1.245	0.614	0.0	0.522	0.143	0.205	0.93	0.026	0.127
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	9.661	1.487	1.141	2.248	0.0	2.663	1.038	2.134	1.02	2.097	0.38	3.882	0.456	0.245
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.067
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.686	0.984	0.353	0.406	2.754	1.754	0.684	0.778	1.102	0.361	0.885	0.427	0.065	0.177
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	1.872	0.48	0.949	1.032	0.0	0.198	0.53	0.722	0.514	0.787	0.125	1.905	0.312	0.253
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.398	0.0	0.0	0.0	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.651	0.557	0.268	0.215	0.0	0.086	0.117	0.157	0.245	0.301	0.15	0.267	1.174	6.055
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.529	0.0	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	9.661	1.487	1.141	2.248	0.0	2.663	1.038	2.134	1.02	2.097	0.38	3.882	0.456	0.245
