gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	EPI	Mes	TE	emVE	exVE
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.003	0.003
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.003	0.003
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.13	0.141	0.143	0.32	0.47
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.003	0.003
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.003	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.13	0.141	0.143	0.32	0.47
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	1.693	0.817	0.977	0.202	0.086
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.391	0.185	0.042	0.148	0.066
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.685	1.024	0.904	1.615	1.25
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	1.693	0.817	0.977	0.202	0.086
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.0	0.0	0.0	0.0	0.002
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.391	0.185	0.042	0.148	0.066
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.014	0.0	0.0	0.003	0.005
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.158	0.0	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.028	0.005	0.0	0.061	0.034
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.014	0.0	0.0	0.003	0.005
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.021	0.0	0.0	0.022	0.006
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0D4CA5D92	0.0	0.0	0.011	0.004	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS02896561C	0.106	0.023	0.0	0.0	0.001
FGF3	P11487	False	FGF3_HUMAN		CPI-SS05ECF1933	0.024	1.485	0.055	0.024	0.019
FGF5	P12034	False	FGF5_HUMAN		CPI-SS066347638	2.921	1.052	0.049	2.914	0.13
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.014	0.0	0.0	0.003	0.005
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0755A26DD	0.021	0.0	0.0	0.022	0.006
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.011	0.004	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	0.106	0.023	0.0	0.0	0.001
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.026	0.422	0.006	0.419	0.052
FGF2	P09038	False	FGF2_HUMAN		CPI-SS05A94DE17	0.014	0.0	0.0	0.003	0.005
FGF1	P05230	False	FGF1_HUMAN		CPI-SS04A97448D	0.021	0.0	0.0	0.022	0.006
CD44	P16070	False	CD44_HUMAN		CPI-SS06B86672A	0.024	0.049	0.0	0.002	0.002
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F6A7A4DF	0.0	0.0	0.011	0.004	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0D67110B0	0.106	0.023	0.0	0.0	0.001
